english|french
Jungle tree stump|Souche d'arbre de jungle
Junk|Débris
Justiciar armour|Armure de justicier
Jute|Jute
Jutting wall|Mur en saillie
Kaleef|Kaleef
Kalphite Queen head|Tête de reine kalphite
Kalphite queen legs|Jambes de reine kalphite
Kalphite soldier|Soldat kalphite
Karamja|Karamja
Katana|Katana
Kbd head|Tête de Kbd
Kebab|Kebab
Keg|Fût
Keg of cider|Fût de cidre
Keg of grog|Fût de grog
Keg of horizon's lure|Fût d'appât de l'horizon
Keg of kraken ink sout|Fût d'encre de kraken
Keg of perildance bitter|Fût de perildance bitter
Keg of trawler's trust|Fût de confiance du chalutier
Keg of whirlpool surprise|Fût de surprise du tourbillon
Kelda Hops|Kelda Hops
Kelda Stout|Kelda Stout
Kelp|Kelp
Kennith's ball|Balle de Kennith
Kettle|Bouilloire
Key|Clé
Keyhole|Trou de serrure
Keystone|Keystone
Keystone crystal|Cristal Keystone
Kharidian cactus|Cactus kharidien
Kharyrll Portal|Portail Kharyrll
King Arthur|Roi Arthur
King arthur|Roi Arthur
King worm|Ver royal
Kings' ladder|Échelle des rois
Kitchen Drawers|Tiroirs de cuisine
Kitchen cabinet|Armoire de cuisine
Kitchen table|Table de cuisine
Kite shield|Bouclier Kite
Knight|Chevalier
Knight Statue|Statue de chevalier
Korbal herbs|Herbes Korbal
Kourend Portal|Portail Kourend
Kourend Shield|Bouclier Kourend
Kourend map display case|Vitrine de la carte de Kourend
Kourend sigil|Sceau de Kourend
Kraken display|Présentoir Kraken
Kraken slime|Bave de kraken
Krandorian Hops|Houblon krandorien
Kronos plant|Plante Kronos
Kualti Daggers|Dagues Kualti
Kurask head|Tête de Kurask
LMS Rework Display|Présentoir LMS Rework
Lab books|Cahiers de laboratoire
Lab notes|Notes de laboratoire
Lab table|Table de laboratoire
Lab tube|Tube de laboratoire
Ladder|Échelle
Ladder space|Espace échelle
Lalli's Stew|Ragoût de Lalli
Lamp|Lampe
Lamp oil still|Alambic à huile de lampe
Lamp space|Espace lampe
Lamp stall|Étal de lampes
Lamp still|Alambic à lampes
Lancalliums|Lancalliums
Lander hatch|Trappe d'atterrissage
Landing Site|Site d'atterrissage
Landscape|Paysage
Landscape space|Espace paysage
Lantern|Lanterne
Larder|Garde-manger
Larder space|Espace garde-manger
Large Barrel|Grand tonneau
Large Display|Grand présentoir
Large Fossil Display|Grand présentoir de fossiles
Large Geyser|Grand geyser
Large Magical Snow|Grande neige magique
Large Pile of Coal|Grand tas de charbon
Large Rock|Grand rocher
Large Vial|Grande fiole
Large bone|Grand os
Large cave|Grande grotte
Large crystals|Grands cristaux
Large cupboard|Grand placard
Large door|Grande porte
Large fountain|Grande fontaine
Large geyser|Grand geyser
Large grave|Grande tombe
Large grave stone|Grande pierre tombale
Large guardian remains|Grands restes de gardien
Large leaf bush|Grand buisson de feuilles
Large map|Grande carte
Large oak bed|Grand lit en chêne
Large orrery|Grand planétaire
Large oven|Grand four
Large rock|Grand rocher
Large sewer pipe|Grand tuyau d'égout
Large shipwreck|Grande épave
Large stalagmite|Grande stalagmite
Large statue|Grande statue
Large stone ledges|Grandes corniches rocheuses
Large storage unit|Grand espace de rangement
Large teak bed|Grand lit en teck
Large urn|Grande urne
Large vase|Grand vase
Larran's big chest|Grand coffre de Larran
Larran's small chest|Petit coffre de Larran
Laundry Basket|Panier à linge
Lava Nerve Ending|Terminaison nerveuse de lave
Lava crater|Cratère de lave
Lava forge|Forge de lave
Lava gap|Faille de lave
Lava pool|Bassin de lave
Lava trough|Auge de lave
Law Altar|Autel de la loi
Law Energy|Énergie de la loi
Law rift|Faille de la loi
Lead rocks|Rochers de plomb
Leaflets|Feuillets
Leafy Palm Tree|Palmier feuillu
Leafy bush|Buisson feuillu
League Firsts Board|Tableau des premières de la ligue
League accomplishments scroll|Parchemin des accomplissements de la ligue
League statue|Statue de la ligue
Leak|Fuite
Leather shields|Boucliers en cuir
Leaves|Feuilles
Lectern|Pupitre
Lectern space|Espace pupitre
Ledge|Corniche
Ledger table|Tableau grand livre
Left side of a fireplace|Côté gauche d'une cheminée
Leftovers|Restes
Legends Guild door|Porte de la guilde des légendes
Lesser magic cage|Cage magique mineure
Lesser magical balance|Équilibre magique mineur
Lever|Levier
Lever bracket|Support de levier
Lever space|Espace levier
Levers|Leviers
Leviathan|Leviathan
Libation bowl|Bol à libations
Life buoy|Bouée de sauvetage
Lifelilly|Lifelilly
Lift|Ascenseur
Lift Platform|Plateforme élévatrice
Light|Lumière
Light Jungle|Jungle lumineuse
Light door|Porte lumineuse
Lighting mechanism|Mécanisme d'éclairage
Lighting space|Espace d'éclairage
Lightning conductor|Paratonnerre
Lightning rod|Paratonnerre
Lily|Lys
Lily pad|Nénuphar
Limestone altar|Autel en calcaire
Limestone attack stone|Pierre d'attaque en calcaire
Limestone rock|Roche calcaire
Limestone spiral staircase|Escalier en colimaçon en calcaire
Limpwurt plant|Plante Limpwurt
Linen trawling net|Filet de pêche en lin
Linum Tirinum|Linum Tirinum
Little boulder|Petit rocher
Little crack|Petite fissure
Little tent|Petite tente
Lizard dwelling|Habitation de lézard
Lizardman corpse|Cadavre de lézard
Lock|Serrure
Lockbox|Coffre-fort
Locked Door|Porte verrouillée
Locked Ogre chest|Coffre d'ogre verrouillé
Locked gate|Porte verrouillée
Locker|Casiers
Lockers|Casiers
Log Store|Bûcher
Log balance|Balance à bûches
Log pile|Pile de bûches
Log raft|Radeau de bûches
Log storage|Stockage de bûches
Logavano plant|Plante Logavano
Logs|Bûches
Long branched tree|Arbre à longues branches
Long grass|Herbe haute
Long planks|Longues planches
Loom|Métier à tisser
Loose Mud|Boue meuble
Loose Railing|Balustrade meuble
Loose rocks|Rochers meubles
Loot Chest|Coffre au trésor
Loot beam|Poutre de butin
Lost supplies|Fournitures perdues
Lovakite furnace|Fourneau en lovakite
Lovakite rocks|Rochers en lovakite
Low fence|Clôture basse
Low wall|Mur bas
Lumber transport|Transport de bois
Lumbridge|Lumbridge
Lumbridge Guide|Guide de Lumbridge
Lumbridge Portal|Portail de Lumbridge
Luminescent Growth|Croissance luminescente
Lumpy rug|Tapis bosselé
Lunar Chest|Coffre lunaire
Lunar Isle Portal|Portail de l'île lunaire
Lunar altar|Autel lunaire
Lunar globe|Globe lunaire
Lure cave|Grotte de leurre
Lurking Shadow|Ombre tapie
Lye lever|Levier à lessive
Machine|Machine
Machine panel|Panneau de machine
Machinery|Machinerie
Magenta Crystal|Cristal magenta
Magenta door|Porte magenta
Magic Gate|Porte magique
Magic Mirror|Miroir magique
Magic Stall|Étal magique
Magic ball|Boule magique
Magic barrier|Barrière magique
Magic birdhouse|Nichoir magique
Magic box failed|Boîte magique défectueuse
Magic brazier|Brasero magique
Magic chest|Coffre magique
Magic door|Porte magique
Magic guild door|Porte de guilde magique
Magic logs pile|Pile de bûches magiques
Magic secateurs|Sécateur magique
Magic spell|Sortilège magique
Magic table|Table magique
Magic totem|Totem magique
Magic tree|Arbre magique
Magic wardrobe space|Espace magique dans l'armoire
Magical Animator|Animateur magique
Magical Barrier|Barrière magique
Magical Chest|Coffre magique
Magical Obelisk|Obélisque magique
Magical Snow|Neige magique
Magical cape rack|Porte-cape magique
Magical fire|Feu magique
Magical rocks|Rochers magiques
Magical shield|Bouclier magique
Magical symbol|Symbole magique
Magical wards|Protections magiques
Magical wheat|Blé magique
Mahogany Homes Display|Présentoir en acajou
Mahogany adventure log|Journal d'aventure en acajou
Mahogany altar|Autel en acajou
Mahogany armchair|Fauteuil en acajou
Mahogany armour case|Coffre à armure en acajou
Mahogany bed|Lit en acajou
Mahogany bench|Banc en acajou
Mahogany birdhouse|Nichoir en acajou
Mahogany bookcase|Bibliothèque en acajou
Mahogany cabinet|Armoire en acajou
Mahogany cape rack|Porte-capes en acajou
Mahogany cargo hold|Cargo en acajou
Mahogany chair|Chaise en acajou
Mahogany chest|Coffre en acajou
Mahogany cupboard|Placard en acajou
Mahogany demon lectern|Pupitre démoniaque en acajou
Mahogany display|Présentoir en acajou
Mahogany drawers|Tiroirs en acajou
Mahogany dresser|Commode en acajou
Mahogany eagle lectern|Pupitre aigle en acajou
Mahogany fancy dress box|Boîte à déguisements en acajou
Mahogany feeder|Mangeoire en acajou
Mahogany house|Maison en acajou
Mahogany hull|Coque en acajou
Mahogany ladder|Échelle en acajou
Mahogany lever|Levier en acajou
Mahogany magic wardrobe|Armoire magique en acajou
Mahogany mast and canvas sails|Mât et voiles en acajou
Mahogany outfit stand|Porte-vêtements en acajou
Mahogany portal|Portail en acajou
Mahogany prize chest|Coffre à trésor en acajou
Mahogany scratching post|Griffoir en acajou
Mahogany shelves|Étagères en acajou
Mahogany table|Table en acajou
Mahogany telescope|Télescope en acajou
Mahogany throne|Trône en acajou
Mahogany toy box|Coffre à jouets en acajou
Mahogany trapdoor|Trappe en acajou
Mahogany treasure chest|Coffre au trésor en acajou
Mahogany tree|Arbre en acajou
Mahogany trophy case|Vitrine à trophées en acajou
Mahogany wardrobe|Armoire en acajou
Making Friends with My Arm display|Présentoir « Se faire des amis avec mon bras »
Man trap|Piège à hommes
Mangrove|Mangrove
Manhole|Regard
Manhole cover|Couvercle de regard
Mannequin|Mannequin
Map|Carte
Map board|Tableau de carte
Map in a bottle|Carte dans une bouteille
Map space|Espace carte
Map table|Table à carte
Maple birdhouse|Nichoir en érable
Maple totem|Totem en érable
Maple tree|Érable
Marble adventure log|Journal d'aventure en marbre
Marble altar|Autel en marbre
Marble attack stone|Pierre d'attaque en marbre
Marble cape rack|Porte-capes en marbre
Marble decorative bench|Banc décoratif en marbre
Marble door|Porte en marbre
Marble fireplace|Cheminée en marbre
Marble lectern|Pupitre en marbre
Marble magic wardrobe|Armoire magique en marbre
Marble portal nexus|Portail en marbre
Marble portal|Portail en marbre
Marble spiral|Spirale en marbre
Marble staircase|Escalier en marbre
Marble trap|Piège en marbre
Marble wall|Mur en marbre
Marigold|Souci
Marigolds|Soucis
Marim Portal|Portail Marim
Mark of Power|Marque du pouvoir
Marked wall|Mur marqué
Market Stall|Étal de marché
Market stall|Étal de marché
Marlin shoal|Banc de marlins
Marshy jungle vine|Liane de la jungle marécageuse
Marv|Marv
Massive ribs|Côtes massives
Massive storage unit|Unité de stockage massive
Mast|Mât
Master clue scroll display|Présentoir de parchemins d'indices maîtres
Mature Asgarnian Ale|Bière Asgarnienne mûre
Mature Axeman's Folly|Folie mûre du bûcheron
Mature Chef's Delight|Délices mûrs du chef
Mature Cider|Cidre mûr
Mature Dragon Bitter|Amer mûr du dragon
Mature Dwarven Stout|Stout mûre des nains
Mature Greenmans Ale|Bière mûre de Greenman
Mature Moonlight Mead|Hydromel mûr au clair de lune
Mature Slayer's Respite|Répit mûr du tueur
Mature Wizards Mind Bomb|Bombe mentale mûre du sorcier
Mature juniper tree|Genévrier mûr
Mausoleum|Mausolée
Mausoleum Door|Porte du mausolée
Meat table|Table à viande
Meat tree|Arbre à viande
Medical box|Trousse médicale
Medical table|Table médicale
Medium Barrier|Barrière moyenne
Medium Fossil Display|Présentoir à fossiles moyen
Medium Jungle|Jungle moyenne
Medium balance|Équilibre moyen
Medium cell tile|Carreau de cellule moyen
Medium fence|Clôture moyenne
Medium map|Carte moyenne
Medium statue|Statue moyenne
Medium storage unit|Unité de stockage moyenne
Medivaemia root|Racine de medivaemia
Medpack Box|Boîte de trousse médicale
Meeting flag|Drapeau de réunion
Megashrimp droppings|Excréments de méga-crevette
Meilyr Banner|Bannière de Meilyr
Melee brazier|Brasero de mêlée
Melting Pot|Creuset
Memorial|Mémorial
Memoriam Device|Dispositif commémoratif
Mercenary shipwreck|Épave de mercenaire
Merchant ship|Navire marchand
Merchant shipwreck|Épave de navire marchand
Mermaid's blessing|Bénédiction de la sirène
Mess|Désordre
Metal Press|Presse à métal
Metal pieces|Morceaux de métal
Mid Feldip Ridge|Crête de Mid Feldip
Mill|Moulin
Millstones|Meules
Mimic Display|Présentoir mimétique
Mind Altar|Autel de l'esprit
Mind Altar Portal|Portail de l'autel de l'esprit
Mind rift|Faille de l'esprit
Mine Cart|Chariot de mine
Mine cart|Chariot de mine
Mine cart sign|Panneau de chariot de mine
Minecart|Chariot de mine
Mirror|Miroir
Miscellanians|Divers
Mithril armour|Armure en mithril
Mithril cannon|Canon en mithril
Mithril door|Porte en mithril
Mithril helm|Casque en mithril
Mithril keel|Quille en mithril
Mithril ore vein|Veine de minerai de mithril
Mithril rocks|Roches de mithril
Mithril salvaging hook|Crochet de récupération en mithril
Mixing vessel|Récipient de mélange
Mole hill|Taupinière
Molten Sand|Sable fondu
Money Pot|Pot d'argent
Monkey Madness II display|Affichage Monkey Madness II
Monkey Statue|Statue de singe
Monkey bars|Barres de singe
Monkeybars|Barres de singe
Monolith|Monolithe
Monster space|Espace monstre
Monument|Monument
Monumental chest|Coffre monumental
Moon Statue|Statue de lune
Moonlight Antelope Trophy|Trophée d'antilope au clair de lune
Moonlight Mead|Hydromel au clair de lune
Mooring point|Point d'amarrage
Mortuary Table|Table mortuaire
Morytania|Morytania
Mossy rock|Roche moussue
Moth|Papillon de nuit
Mould jig|Gabarit de moulage
Mound of earth|Monticule de terre
Mounted Head|Tête empaillée
Mounted Head Space|Espace pour tête empaillée
Mounted Sailing Cape|Cap de voile empaillé
Mounted bass|Bar empaillé
Mounted coins|Pièces de monnaie empaillées
Mounted digsite pendant|Pendentif de site de fouilles empaillé
Mounted emblem|Emblème empaillé
Mounted giant blue krill|Krill bleu géant empaillé
Mounted golden haddock|Aiglefin doré empaillé
Mounted harpoonfish|Poisson-harpon empaillé
Mounted huge halibut|Flétan géant empaillé
Mounted orangefin|Orpine empaillée
Mounted purplefin|Orpine violette empaillée
Mounted shark|Requin empaillé
Mounted swift marlin|Marlin rapide empaillé
Mounted swordfish|Espadon empaillé
Mounted xeric's talisman|Talisman de Xeric empaillé
Mouse hole|Trou de souris
Mox lever|Levier Mox
Mud mound|Monticule de boue
Mud pile|Tas de boue
Muddy chest|Coffre boueux
Muddy patch|Tache boueuse
Mummy ashes|Cendres de momie
Mural|Peinture murale
Musca mushrooms|Champignons Musca
Mushroom|Champignon
Mushroom torch|Torche champignon
Mushrooms|Champignons
Mushtree|Arbre Mushtree
Mushy Bed|Lit boueux
Music Scores|Partitions musicales
Music stand|Pupitre
Musical space|Espace musical
Musty bookshelf|Étagère moisie
My life|Ma vie
Mycelium Transportation System|Système de transport mycélien
Mysterious Stairs|Escaliers mystérieux
Mysterious pipe|Tuyau mystérieux
Mysterious pool|Bassin mystérieux
Mysterious ruins|Ruines mystérieuses
Mysterious statue|Statue mystérieuse
Mysterious stone|Pierre mystérieuse
Mystic symbol|Symbole mystique
Mystical barrier|Barrière mystique
Mystical mirror|Miroir mystique
Mythic Statue|Statue mythique
Mythical cape|Cap mythique
Narrow crevice|Fissure étroite
Narrow gap|Fente étroite
Narrow wall|Mur étroit
Nasturtium|Capucine
Nature Altar|Autel de la nature
Nature Energy|Énergie de la nature
Nature house|Maison de la nature
Nature rift|Faille de la nature
Navigator's table|Table du navigateur
Ned's Table|Table de Ned
Neitiznot coat of arms|Armoiries de Neitiznot
Nerve Ending|Terminaison nerveuse
Nest|Nid
Net trap|Piège en filet
Net|Filet
Nettles|Orties
Neural Gateway|Passerelle neuronale
Neural Teleporter|Téléporteur neuronal
New farming patch|Nouvelle parcelle agricole
Newspapers|Journaux
Nex Display|Affichage Nex
Nice hedge|Jolie haie
Nice tree|Joli arbre
Nickel rocks|Rochers en nickel
Nightmare Berries|Baies cauchemardesques
Nightmare Blossom|Fleur cauchemardesque
Nightmare zone display|Affichage de la zone cauchemardesque
Nine|Neuf
Nistirio's manifesto|Manifeste de Nistirio
Notice|Avis
Notice board|Tableau d'affichage
Notice from General Khazard|Avis du général Khazard
Noticeboard|Tableau d'affichage
Notices|Avis
Novice Flag|Drapeau de novice
Noxifer|Noxifer
Noxious tendrils|Vignes toxiques
Oak altar|Autel en chêne
Oak and steel cage|Cage en chêne et en acier
Oak armchair|Fauteuil en chêne
Oak armour case|Coffre en chêne
Oak bed|Lit en chêne
Oak bench|Banc en chêne
Oak birdhouse|Nichoir en chêne
Oak bookcase|Bibliothèque en chêne
Oak cabinet|Armoire en chêne
Oak cage|Cage en chêne
Oak cape rack|Porte-capes en chêne
Oak cargo hold|Cargo en chêne
Oak chair|Chaise en chêne
Oak chest|Coffre en chêne
Oak clock|Horloge en chêne
Oak cupboard|Armoire en chêne
Oak dining table|Table à manger en chêne
Oak display|Présentoir en chêne
Oak door|Porte en chêne
Oak drawers|Tiroirs en chêne
Oak dresser|Commode en chêne
Oak fancy dress box|Boîte à déguisements en chêne
Oak feeder|Mangeoire en chêne
Oak house|Maison en chêne
Oak hull|Coque en chêne
Oak kitchen table|Table de cuisine en chêne
Oak ladder|Échelle en chêne
Oak larder|Garde-manger en chêne
Oak lectern|Pupitre en chêne
Oak lever|Levier en chêne
Oak magic wardrobe|Armoire magique en chêne
Oak mast and linen sails|Mât en chêne et voiles en lin
Oak outfit stand|Porte-vêtements en chêne
Oak prize chest|Coffre à trophées en chêne
Oak scratching post|Griffoir en chêne
Oak shaving stand|Porte-rasoir en chêne
Oak shelves|Étagères en chêne
Oak shelves 1|Étagères en chêne 1
Oak shelves 2|Étagères en chêne 2
Oak staircase|Escalier en chêne
Oak table|Table en chêne
Oak telescope|Télescope en chêne
Oak throne|Trône en chêne
Oak totem|Totem en chêne
Oak toy box|Coffre à jouets en chêne
Oak trapdoor|Trappe en chêne
Oak treasure chest|Coffre au trésor en chêne
Oak tree|Chêne
Oak trophy case|Vitrine à trophées en chêne
Oak wall decoration|Décoration murale en chêne
Oak wardrobe|Armoire en chêne
Oak workbench|Établi en chêne
Oaknock statue|Statue d'Oaknock
Oaknock's Machine|Machine d'Oaknock
Oaknock's exchanger|Échangeur d'Oaknock
Oaknock's machine|Machine d'Oaknock
Obelisk|Obélisque
Obelisk Hand|Main d'obélisque
Obelisk of Air|Obélisque de l'air
Obelisk of Earth|Obélisque de la terre
Obelisk of Fire|Obélisque du feu
Obelisk of Water|Obélisque de l'eau
Obsidian decorative bench|Banc décoratif en obsidienne
Obsidian fence|Clôture en obsidienne
Obstacle net|Filet d'obstacle
Obstacle pipe|Tuyau d'obstacle
Occult altar|Autel occulte
Occupied Cormorant perch|Perchoir occupé par un cormoran
Occupied perch|Perchoir occupé
Odd looking wall|Mur étrange
Odd markings|Marques étranges
Offerings|Offrandes
Office table|Table de bureau
Official Order of Construction|Ordre officiel de construction
Ogre Coffin|Cercueil d'ogre
Ogre Drums|Tambours d'ogre
Ogre barricade|Barricade d'ogre
Ogre bed|Lit d'ogre
Ogre bench|Banc d'ogre
Ogre fire|Feu d'ogre
Ogre spit-roast|Rôtissoire d'ogre
Olaf's boat|Bateau d'Olaf
Old Bookshelf|Vieille bibliothèque
Old Memorial|Vieux mémorial
Old One Statue|Statue du Vieux
Old Shrine|Vieux sanctuaire
Old Stall|Vieille étable
Old axe|Vieille hache
Old battered door|Vieille porte abîmée
Old bookcase|Vieille bibliothèque
Old bookshelf|Vieille étagère
Old camp|Vieux campement
Old campfire|Vieux feu de camp
Old chest|Vieil coffre
Old crane|Vieille grue
Old fire pit|Vieil emplacement de feu
Old log|Vieille bûche
Old man's coffin|Cercueil de vieillard
Old passageway|Vieux passage
Old ruin entrance|Entrée de vieilles ruines
Old sacks|Vieux sacs
Old tools|Vieux outils
Old wall|Vieux mur
Olmic pillar|Pilier olmique
Ominous Fishing Spot|Lieu de pêche sinistre
Ominous sea light|Lumière marine sinistre
One|Un
Onion|Oignon
Onion basket|Panier d'oignons
Onion plant|Plante d'oignons
Oojimaflip|Oojimaflip
Oozing barrier|Barrière suintante
Open chest|Coffre ouvert
Opening|Ouverture
Operating table|Table d'opération
Operation chair|Chaise d'opération
Operation table|Table d'opération
Opulent curtains|Rideaux somptueux
Opulent rug|Tapis somptueux
Opulent table|Table somptueuse
Orange door|Porte orange
Orange flowers|Fleurs orange
Orange hibiscus|Hibiscus orange
Orange pumpkins|Citrouilles orange
Orange spice|Épice orange
Orange tree|Oranger
Orb of light|Orbe de lumière
Orchid|Orchidée
Orchids|Orchidées
Ore crate|Caisse de minerai
Ore sack|Sac de minerai
Ore stall|Étal de minerai
Ore stones|Pierres de minerai
Ore table|Table de minerai
Ore vein|Veine de minerai
Organ|Orgue
Ornament|Ornement
Ornamental globe|Globe décoratif
Ornate banner stand|Support de bannière décoratif
Ornate candle|Bougie décorative
Ornate jewellery box|Boîte à bijoux décorative
Ornate league statue|Statue décorative de la ligue
Ornate railing|Balustrade décorative
Ornate rejuvenation pool|Bassin de rajeunissement décoratif
Ornate trophy pedestal|Piédestal décoratif pour trophée
Ornate undead combat dummy|Mannequin de combat décoratif pour morts-vivants
Ornate vase|Vase décoratif
Orrery|Planétaire
Otherworldly theme|Thème d'un autre monde
Our lives|Nos vies
Ourania Altar|Autel d'Ourania
Outcrop|Affleurement
Outfit stand space|Espace pour support de tenue
Output Tap|Robinet de sortie
Oven|Four
Overcharged Barrier|Barrière surchargée
Overgrown pillar|Pilier envahi par la végétation
Overhanging rock|Roche en surplomb
Overload potion|Potion de surcharge
Overpowered cell tile|Tuile de cellule surpuissante
Overseer's book|Livre du surveillant
Pagoda Fungus|Champignon pagode
Painting|Peinture
Palm|Palmier
Palm tree|Palmier
Panning point|Point de panoramique
Papaya tree|Papayer
Parasol|Parasol
Partial fence|Clôture partielle
Partial ship|Navire partiel
Party Balloon|Ballon de fête
Passage|Passage
Passageway|Passage
Path of Apmeken|Chemin d'Apmeken
Path of Crondis|Chemin de Crondis
Path of Het|Chemin de Het
Path of Scabaras|Chemin de Scabaras
Pear tree|Poirier
Pebbles|Cailloux
Pedals|Pédales
Pedestal|Piédestal
Pedestal space|Espace pour piédestal
Peephole|Judas
Pen Door|Porte à stylo
Penance cave|Grotte de pénitence
Penance statue|Statue de pénitence
Pendant|Pendentif
Pendulum|Pendule
Pentamid Pile|Pile pentamid
Perch|Perchoir
Perch rock|Roche perchoir
Periscope|Périscope
Pet feeder space|Espace pour mangeoire pour animaux
Pet house space|Espace pour niche pour animaux
Pet list|Liste d'animaux
Pet list space|Espace pour liste d'animaux
Petrified mushroom|Champignon pétrifié
Pew|Banc d'église
Phantom Muspah Display|Affichage fantôme Muspah
Pharmakos bush|Buisson Pharmakos
Pheasant Nest|Nid de faisan
Phosani's Nightmare Display|Affichage du cauchemar de Phosani
Phren Roots|Racines de Phren
Piano|Piano
Piano stool|Tabouret de piano
Pickaxe|Pioche
Pickaxe of the Lost|Pioche des perdus
Pickaxe stall|Étal de pioches
Picket fence|Clôture en bois
Picnic|Pique-nique
Picnic bench|Banc de pique-nique
Picnic table|Table de pique-nique
Picture|Image
Picture wall|Mur d'images
Pier|Jetée
Pigeon|Pigeon
Pile of Ancient Books|Pile de livres anciens
Pile of Buckets|Pile de seaux
Pile of Fish.|Pile de poissons.
Pile of Fishbowls|Pile de bocaux à poissons
Pile of Rock|Pile de rochers
Pile of bricks|Pile de briques
Pile of canes|Pile de cannes
Pile of chocolate|Pile de chocolats
Pile of coal|Pile de charbon
Pile of equipment|Pile d'équipement
Pile of fake eggs|Pile de faux œufs
Pile of fish|Pile de poissons
Pile of rocks|Pile de rochers
Pile of rubble|Pile de gravats
Pillar|Pilier
Pillar coral|Corail pilier
Pillars of Zanash|Piliers de Zanash
Pillow|Oreiller
Pinball Post|Pinball Post
Pinboard|Tableau d'affichage
Pine tree|Pin
Pineapple|Ananas
Pineapple Plant|Plante d'ananas
Pineapple plant|Plante d'ananas
Pink rose bush patch|Roseraie rose
Pipe|Pipe
Pipe machine|Machine à tuyaux
Pipes|Tuyaux
Pirate Captain|Capitaine pirate
Pirate Flag|Drapeau pirate
Pirate Pete|Pirate Pete
Pirate Sign|Panneau pirate
Pirate map|Carte pirate
Pirate shipwreck|Épave pirate
Pit|Fosse
Pitcher plant|Plante carnivore
Pitfall|Piège
Plank|Planche
Plank pile|Pile de planches
Planks|Planches
Plant|Plante
Plant Fossil Display|Exposition de fossiles végétaux
Plant door|Porte végétale
Planter|Jardinière
Plantpot|Pot de fleurs
Plants|Plantes
Plaque|Plaque
Platform|Plateforme
Play blocks|Blocs de jeu
Plinth|Socle
Pluming stand|Support de plomberie
Plunder Storage|Stockage de butin
Plushie|Peluche
Points settings|Paramètres de points
Poison Ivy bush|Buisson de sumac vénéneux
Poison crater|Cratère empoisonné
Poison spill|Déversement de poison
Pokers|Pokers
Polar habitat|Habitat polaire
Pole|Poteau
Pole-vault|Saut à la perche
Polishing wheel|Roue de polissage
Polite notice|Avis poli
Poll booth|Cabine de vote
Pond|Étang
Pool of Dreams|Bassin des rêves
Pool of Nightmares|Bassin des cauchemars
Pool of Refreshment|Bassin de rafraîchissement
Pool of Slime|Bassin de boue
Pool of blood|Bassin de sang
Pool of ichor|Bassin d'ichor
Pool space|Espace de bassin
Poor Bed|Lit pauvre
Porcine of Interest Display|Porc d'intérêt Exposition
Port roberts jail visitors book|Livre d'or de la prison de Port Roberts
Portal|Portail
Portal Home|Accueil du portail
Portal Nexus space|Espace Nexus du portail
Portal frame|Cadre du portail
Portal machine|Machine du portail
Portal of Amlodd|Portail d'Amlodd
Portal of Cadarn|Portail de Cadarn
Portal of Champions|Portail des champions
Portal of Crwys|Portail de Crwys
Portal of Death|Portail de la mort
Portal of Hefin|Portail de Hefin
Portal of Heroes|Portail des héros
Portal of Iorwerth|Portail d'Iorwerth
Portal of Ithell|Portail d'Ithell
Portal of Legends|Portail des légendes
Portal of Meilyr|Portail de Meilyr
Portal of Trahaearn|Portail de Trahaearn
Portal space|Espace portail
Portcullis|Herse
Portrait|Portrait
Portrait space|Espace portrait
Portraits|Portraits
Posh bell-pull|Cordon de sonnette chic
Posh fountain|Fontaine chic
Post|Poteau
Poster|Affiche
Posters & notices|Affiches et avis
Posts|Poteaux
Pot|Pot
Pot of Gold|Pot d'or
Pot-boiler|Pot-boiler
Potato|Pomme de terre
Potato basket|Panier de pommes de terre
Potato cactus|Cactus pomme de terre
Potato plant|Plante de pomme de terre
Potato plants|Plantes de pomme de terre
Potential fire|Risque d'incendie
Potion|Potion
Potion of power table|Table de potion de pouvoir
Potions|Potions
Potted fan|Ventilateur en pot
Potted flower|Fleur en pot
Potted plant|Plante en pot
Potter's Wheel|Tour de potier
Potter's wheel|Tour de potier
Pottery Oven|Four à poterie
Pottery oven|Four à poterie
Powder grey pumpkins|Citrouilles gris poudre
Power Grid|Réseau électrique
Power surge|Surtension
Powerful rapids|Rapides puissants
Precarious bridge|Pont précaire
Preform storage|Stockage de préformes
Preparation Table|Table de préparation
Pressure Barrel|Baril à pression
Pressure Lever|Levier à pression
Pressure machine|Machine à pression
Pressure pad|Tapis à pression
Pressure plate|Plaque à pression
Priest Statue|Statue de prêtre
Prifddinas Display|Prifddinas Display
Prison Door|Prison Door
Prison door|Prison door
Prison space|Prison space
Private portal|Private portal
Prize chest space|Prize chest space
Produce basket|Produce basket
Professor's table|Professor's table
Prop shipwreck|Prop shipwreck
Protest Banners|Protest Banners
Puddle|Puddle
Pump|Pump
Pump and drain|Pump and drain
Pump and tub|Pump and tub
Pumpkin|Pumpkin
Pumpkin carving table|Pumpkin carving table
Pumpkin patch|Pumpkin patch
Pylon|Pylon
Quest Speedrunning Display|Quest Speedrunning Display
Quest list|Quest list
Quest list space|Espace liste de quêtes
Quetzal nest|Nid de quetzal
Rabbit hole|Trou de lapin
Rabbitless hole|Trou sans lapin
Rachel|Rachel
Rack|Étagère
Radiant Vein|Veine rayonnante
Raft|Radeau
Raging echoes curtains|Rideaux échos rageurs
Raging echoes rug|Tapis échos rageurs
Rail|Rail
Raised coffin|Cercueil surélevé
Range|Portée
Range chimney|Cheminée à portée
Ranged brazier|Brasero à portée
